job_id,skill,skill_category
freehire:principal-data-analyst-ingram-micro-ibjvwigi,Python,Programming
freehire:principal-data-analyst-ingram-micro-ibjvwigi,Qlik,BI / Visualization
freehire:principal-data-analyst-ingram-micro-ibjvwigi,SQL,Database / Query
freehire:senior-business-analyst-trinet-ejnr7jq3,Excel,Spreadsheet
freehire:senior-business-analyst-trinet-ejnr7jq3,Power BI,BI / Visualization
freehire:senior-business-analyst-trinet-ejnr7jq3,SQL,Database / Query
freehire:senior-business-analyst-trinet-ejnr7jq3,Tableau,BI / Visualization
freehire:alteryx-data-analyst-exl-5gcx3lph,Alteryx,Analytics Tool
freehire:alteryx-data-analyst-exl-5gcx3lph,Data Modeling,Data Engineering
freehire:alteryx-data-analyst-exl-5gcx3lph,Hadoop,Data Engineering
freehire:alteryx-data-analyst-exl-5gcx3lph,Jira,Collaboration Tool
freehire:alteryx-data-analyst-exl-5gcx3lph,Python,Programming
freehire:alteryx-data-analyst-exl-5gcx3lph,SQL,Database / Query
freehire:alteryx-data-analyst-exl-5gcx3lph,Spark,Data Engineering
freehire:business-analyst-black-box-vh3aligp,Power BI,BI / Visualization
freehire:business-analyst-black-box-vh3aligp,Python,Programming
freehire:business-analyst-black-box-vh3aligp,SAP,Enterprise Tool
freehire:business-analyst-black-box-vh3aligp,SQL,Database / Query
freehire:lead-data-analyst-exl-isbg5fvg,Data Modeling,Data Engineering
freehire:lead-data-analyst-exl-isbg5fvg,Jira,Collaboration Tool
freehire:lead-data-analyst-exl-isbg5fvg,Python,Programming
freehire:lead-data-analyst-exl-isbg5fvg,SQL,Database / Query
freehire:lead-data-analyst-exl-isbg5fvg,Spark,Data Engineering
freehire:senior-professional-business-analyst-cotality-7zyn2cqi,Excel,Spreadsheet
freehire:senior-professional-business-analyst-cotality-7zyn2cqi,Looker,BI / Visualization
freehire:senior-professional-business-analyst-cotality-7zyn2cqi,Power Query,BI / Visualization
freehire:senior-professional-business-analyst-cotality-7zyn2cqi,SQL,Database / Query
freehire:senior-professional-business-analyst-cotality-7zyn2cqi,Tableau,BI / Visualization
freehire:business-analyst-theapexgroup-aey5eoy5,Azure,Cloud
freehire:data-analyst-5b-genpact-cvlyzapm,Databricks,Data Engineering
freehire:data-analyst-5b-genpact-cvlyzapm,Oracle,Database / Query
freehire:data-analyst-5b-genpact-cvlyzapm,Spark,Data Engineering
freehire:data-analyst-5b-genpact-cvlyzapm,Statistics,Statistics / Analytics
freehire:salesforce-business-analyst-hitachi-energy-al4bcpzt,Excel,Spreadsheet
freehire:salesforce-business-analyst-hitachi-energy-al4bcpzt,Jira,Collaboration Tool
freehire:salesforce-business-analyst-hitachi-energy-al4bcpzt,SQL,Database / Query
freehire:finance-business-analyst-hewlett-packard-hp-7qwt7gh7,SAP,Enterprise Tool
freehire:product-analyst-ii-glance-g76kpoxi,Excel,Spreadsheet
freehire:product-analyst-ii-glance-g76kpoxi,Machine Learning,Machine Learning
freehire:product-analyst-ii-glance-g76kpoxi,Power BI,BI / Visualization
freehire:product-analyst-ii-glance-g76kpoxi,Python,Programming
freehire:product-analyst-ii-glance-g76kpoxi,SQL,Database / Query
freehire:product-analyst-ii-glance-g76kpoxi,Statistics,Statistics / Analytics
freehire:product-analyst-ii-glance-g76kpoxi,Tableau,BI / Visualization
freehire:rpa-business-analyst-flight-centre-hji5h6wm,Jira,Collaboration Tool
freehire:rpa-business-analyst-flight-centre-hji5h6wm,Machine Learning,Machine Learning
freehire:business-analyst-master-data-management-genpact-bouoehet,Excel,Spreadsheet
freehire:business-analyst-master-data-management-genpact-bouoehet,Forecasting,Statistics / Analytics
freehire:business-analyst-master-data-management-genpact-bouoehet,SAP,Enterprise Tool
freehire:business-analyst-master-data-management-genpact-bouoehet,Statistics,Statistics / Analytics
freehire:pcc-program-business-analyst-assistant-manager-state-street-wthonnuc,Jira,Collaboration Tool
freehire:enterprise-data-and-governance-analyst-barclays-e7elxpfn,Tableau,BI / Visualization
freehire:master-data-management-analyst-ii-columbiasportswearcompany-xwwss4v6,Excel,Spreadsheet
freehire:master-data-management-analyst-ii-columbiasportswearcompany-xwwss4v6,Power BI,BI / Visualization
freehire:master-data-management-analyst-ii-columbiasportswearcompany-xwwss4v6,SAP,Enterprise Tool
freehire:master-data-management-analyst-ii-columbiasportswearcompany-xwwss4v6,SQL,Database / Query
