skill_1,skill_2,jobs_with_pair
A/B Testing,Data Modeling,12
A/B Testing,Forecasting,12
AWS,ELT,12
BigQuery,Data Modeling,12
BigQuery,Data Warehousing,12
BigQuery,Statistics,12
Data Modeling,SQL Server,12
Data Warehousing,Machine Learning,12
Databricks,Oracle,12
ETL,Looker,12
ETL,SAP,12
Excel,Git,12
Forecasting,Git,12
Oracle,Spark,12
Power BI,Redshift,12
Power BI,SAS,12
Qlik,Statistics,12
SQL,SSIS,12
SQL Server,Statistics,12
Azure,ELT,11
Azure,Power Query,11
BigQuery,Redshift,11
BigQuery,Snowflake,11
DAX,Snowflake,11
Data Modeling,Regression,11
ETL,Forecasting,11
Excel,GCP,11
Excel,NumPy,11
GCP,Jira,11
Git,Looker,11
Jira,SAP,11
Looker,dbt,11
Power BI,SSIS,11
SQL Server,Snowflake,11
A/B Testing,Snowflake,10
AWS,DAX,10
Airflow,Power BI,10
Airflow,Tableau,10
Alteryx,Forecasting,10
BigQuery,ETL,10
Data Modeling,ELT,10
Data Modeling,Redshift,10
Data Warehousing,GCP,10
Data Warehousing,Jira,10
Data Warehousing,Redshift,10
Data Warehousing,SQL Server,10
ELT,Snowflake,10
ETL,SSIS,10
Jira,Regression,10
Looker,Redshift,10
Pandas,Spark,10
Power Query,Tableau,10
Python,SSIS,10
Snowflake,Spark,10
A/B Testing,Spark,9
AWS,Looker,9
AWS,dbt,9
Alteryx,ETL,9
Alteryx,Snowflake,9
Azure,SAP,9
BigQuery,Excel,9
Data Warehousing,SAP,9
Data Warehousing,Spark,9
Data Warehousing,dbt,9
ELT,Git,9
ELT,Tableau,9
Forecasting,Pandas,9
GCP,Git,9
GCP,Looker,9
GCP,Snowflake,9
Hadoop,Statistics,9
Jira,SQL Server,9
Looker,Machine Learning,9
Machine Learning,NumPy,9
Machine Learning,Pandas,9
MySQL,Python,9
MySQL,Tableau,9
Oracle,SQL,9
PostgreSQL,Python,9
Redshift,Statistics,9
Statistics,dbt,9
A/B Testing,Regression,8
Airflow,ETL,8
Airflow,dbt,8
Azure,Pandas,8
BigQuery,Git,8
DAX,Databricks,8
DAX,Tableau,8
Data Modeling,Pandas,8
Data Warehousing,Power Query,8
Databricks,Looker,8
Databricks,Redshift,8
Excel,Redshift,8
Git,Pandas,8
Jira,Looker,8
Jira,Pandas,8
Pandas,Snowflake,8
SAP,Snowflake,8
A/B Testing,BigQuery,7
A/B Testing,Pandas,7
Airflow,Data Modeling,7
Alteryx,DAX,7
Alteryx,Jira,7
Azure,Oracle,7
Azure,SSIS,7
BigQuery,dbt,7
DAX,GCP,7
DAX,Jira,7
DAX,SQL Server,7
Data Modeling,NumPy,7
Data Modeling,Qlik,7
Databricks,Pandas,7
ELT,Jira,7
ETL,Qlik,7
ETL,dbt,7
Excel,PostgreSQL,7
Forecasting,NumPy,7
GCP,Machine Learning,7
Hadoop,Tableau,7
Looker,Regression,7
Machine Learning,Qlik,7
Machine Learning,SQL Server,7
MySQL,Statistics,7
PostgreSQL,Power BI,7
PostgreSQL,Statistics,7
PostgreSQL,Tableau,7
Power Query,SAP,7
Qlik,Spark,7
Regression,SAP,7
AWS,Pandas,6
AWS,SQL Server,6
Airflow,Git,6
Airflow,Snowflake,6
Airflow,Statistics,6
Alteryx,Power Query,6
Alteryx,Qlik,6
Alteryx,SAP,6
Azure,dbt,6
BigQuery,Forecasting,6
BigQuery,GCP,6
DAX,SAP,6
Data Modeling,Hadoop,6
Data Warehousing,ELT,6
Databricks,GCP,6
Databricks,Qlik,6
ELT,GCP,6
ELT,Spark,6
ELT,Statistics,6
Excel,MySQL,6
GCP,Spark,6
Git,NumPy,6
Hadoop,Machine Learning,6
Hadoop,Power BI,6
Looker,Pandas,6
Machine Learning,SAP,6
MySQL,Power BI,6
Pandas,Regression,6
R,Tableau,6
SAS,Spark,6
A/B Testing,Data Warehousing,5
A/B Testing,Databricks,5
A/B Testing,NumPy,5
A/B Testing,Redshift,5
A/B Testing,SAS,5
AWS,Airflow,5
AWS,Hadoop,5
AWS,NumPy,5
AWS,Power Query,5
AWS,SAP,5
Airflow,Looker,5
Azure,Looker,5
Azure,NumPy,5
Azure,Qlik,5
Azure,Regression,5
BigQuery,Databricks,5
BigQuery,Machine Learning,5
BigQuery,Regression,5
DAX,Machine Learning,5
Data Modeling,SAS,5
Data Modeling,SSIS,5
Data Warehousing,PostgreSQL,5
Databricks,ELT,5
Databricks,Hadoop,5
Databricks,SQL Server,5
Databricks,dbt,5
ELT,Machine Learning,5
ETL,Pandas,5
ETL,SAS,5
Excel,Hadoop,5
Excel,dbt,5
Forecasting,Qlik,5
Forecasting,SAS,5
Forecasting,dbt,5
GCP,Pandas,5
GCP,Redshift,5
Git,Hadoop,5
Git,Regression,5
Git,SQL Server,5
Jira,Power Query,5
Jira,Qlik,5
Jira,Redshift,5
Machine Learning,dbt,5
MySQL,PostgreSQL,5
NumPy,Regression,5
Pandas,SciPy,5
PostgreSQL,SQL Server,5
Python,SPSS,5
Python,SciPy,5
Redshift,dbt,5
SQL,SciPy,5
SciPy,Statistics,5
A/B Testing,AWS,4
A/B Testing,ETL,4
A/B Testing,Git,4
A/B Testing,Jira,4
A/B Testing,dbt,4
AWS,Alteryx,4
AWS,Qlik,4
AWS,SAS,4
Airflow,Azure,4
Airflow,Forecasting,4
Alteryx,Databricks,4
Alteryx,Redshift,4
Azure,Hadoop,4
BigQuery,Spark,4
DAX,Git,4
DAX,SSIS,4
Data Modeling,PostgreSQL,4
Data Warehousing,Forecasting,4
Data Warehousing,SSIS,4
Databricks,Power Query,4
Databricks,Regression,4
ETL,NumPy,4
ETL,Regression,4
Forecasting,GCP,4
GCP,NumPy,4
GCP,Power Query,4
Git,Redshift,4
Hadoop,Jira,4
Hadoop,Qlik,4
