role_family,recent_share_pct,pre_share_pct,share_change_pp
Operations / Process Analytics,8.793103448275861,4.324324324324325,4.468779123951537
Reporting / MIS Analyst,3.1609195402298855,1.4414414414414414,1.7194780987884442
Other Analyst,9.770114942528735,8.64864864864865,1.1214662938800863
Risk / Quantitative Analytics,4.482758620689655,3.423423423423423,1.0593351972662317
Data Quality / Governance,2.9885057471264367,2.1621621621621623,0.8263435849642744
Product Analyst,3.3333333333333335,2.7027027027027026,0.6306306306306309
Analytics Analyst,1.4655172413793103,0.9009009009009009,0.5646163404784094
Insights / Customer Analytics,0.45977011494252873,0.18018018018018017,0.27958993476234856
BI Analyst,4.396551724137931,4.504504504504505,-0.10795278036657407
Marketing Analytics,0.8045977011494253,1.0810810810810811,-0.27648337993165584
Performance / Strategy,0.7183908045977011,1.2612612612612613,-0.5428704566635602
Pricing / Revenue / Commercial,2.0402298850574714,3.063063063063063,-1.0228331780055915
Data Analyst,20.316091954022987,22.34234234234234,-2.0262503883193546
Business Analyst,37.270114942528735,43.96396396396396,-6.693849021435227
