company_name,job_count,role_families,specific_cities
MUFG Global Service (MGS),1,1,1
MYK LATICRETE,1,1,1
Maersk,1,1,0
"Magna International, Inc",1,1,0
Magnera Corporation,1,1,1
Makro Group,1,1,1
Mantra Aura,1,1,1
Mapps It Services,1,1,1
Marriott Tech Accelerator,1,1,1
Mashreq Bank,1,1,1
Mattel,1,1,1
Mattel Inc,1,1,1
Mavenbmc Faridabad,1,1,1
Mayura Consultancy Services,1,1,0
McKinsey & Company,1,1,0
Medhavi WISE,1,1,1
MediaMint,1,1,1
MediaRadar,1,1,1
"Medpace, Inc.",1,1,1
Mepa2z Llp,1,1,1
Mercer,1,1,1
Micro Academy India Private Limited,1,1,1
Microsoft,1,1,0
Miles Education,1,1,1
Millenium Infotech,1,1,1
Milliman,1,1,1
MiraTech,1,1,1
Mlops Solutions Pvt Ltd,1,1,1
Modern Healthcare Financial Experiences are Built with Zelis,1,1,1
Momentive,1,1,0
Momentum Group Limited,1,1,1
MongoDB,1,1,1
MoonPay,1,1,1
Mott Macdonald,1,1,1
Moving Walls,1,1,0
Mspire Ventures,1,1,1
MyCareernet Hiring Now,1,1,0
Myntra,1,1,1
NAM Info Pvt Ltd,1,1,1
NMIMS,1,1,1
NSM Services,1,1,0
NTT,1,1,1
NTT DATA North America,1,1,1
NanoNets,1,1,1
Navan,1,1,1
Navrang HR Solutions,1,1,1
NebuLogic Technologies,1,1,1
Nestle,1,1,1
Netomi,1,1,1
Neudesic Technologies Private Limited,1,1,1
Newfold Digital Philippines Inc,1,1,1
Newmark,1,1,1
News Corp,1,1,1
NextWave Consulting Ltd,1,1,1
Nifty’s,1,1,1
Nirmitee.io,1,1,1
Nitika Pharmaceutical Specialities,1,1,1
Novel Office,1,1,1
Novrelease,1,1,0
NuageCX Consulting,1,1,1
Numerix,1,1,0
ONIT,1,1,1
Oaktree Capital Management,1,1,1
OculusIT,1,1,1
Oddup,1,1,0
Old National Bank,1,1,1
Onity Group Inc.,1,1,1
OnlineJobs.PH,1,1,1
Onzestt Services India Private Limited,1,1,1
Opalus Investments LLC,1,1,1
Opella Healthcare IN P.,1,1,1
Optum India,1,1,1
Orange,1,1,1
Otsuka Pharmaceutical India Pvt Ltd,1,1,1
Ouryahoo,1,1,0
Outpost VFX,1,1,1
Owens & Minor,1,1,0
PIPEx,1,1,1
PNB MetLife,1,1,0
PVH Corp.,1,1,1
PaisaSmart,1,1,1
Parker Group,1,1,0
PassionMojo,1,1,1
Pavago,1,1,0
Pearce Services Global (PSG),1,1,1
Pearl,1,1,0
Pearson,1,1,1
Pennant Technologies Private Limited,1,1,1
Peopleclick Techno Solutions Pvt.ltd,1,1,0
Peoplefy Infosolutions Private Limited,1,1,1
PepsiCo,1,1,1
Perceptive Analytics,1,1,1
Pericent BPMDMS software,1,1,1
Persistent Systems,1,1,1
Petrofac,1,1,1
Phenom People,1,1,1
Pilot Thomas Logistics,1,1,0
PineBridge Investments,1,1,1
Pinnacle Reliability India,1,1,0
Piramal Pharma,1,1,0
PlaySimple Games,1,1,1
Plum Benefits,1,1,1
Pmc Rubber Chemicals,1,1,1
Point72,1,1,1
Pointo,1,1,1
Policy Planner,1,1,1
Precision AQ,1,1,0
Pretium Enterprise Services,1,1,1
PrismHR,1,1,1
Private Limited,1,1,0
ProArch,1,1,1
ProcDNA,1,1,1
"Propel Consulting Services, Inc.",1,1,1
Pss Global,1,1,1
PulsePoint,1,1,1
Q2 Software,1,1,1
QAgile Services,1,1,0
Qnity,1,1,1
Quantum IT Innovation,1,1,0
Qube Research & Technologies,1,1,1
Quess Enterprise,1,1,1
Qure.ai,1,1,1
REA,1,1,1
RED Global,1,1,1
RSM,1,1,1
RWS,1,1,0
RWS Group,1,1,1
Radiansys Technologies,1,1,1
ReSource Pro,1,1,0
Redfoxa Careerlink Pvt Ltd,1,1,1
Refining Skills Academy,1,1,1
Rehiko,1,1,1
RemoteLegalStaff,1,1,0
Renesas,1,1,1
Renesas Electronics,1,1,1
Rentomojo,1,1,1
Rezo.ai,1,1,1
Riveron,1,1,0
Roboyo,1,1,1
RoshanSpace,1,1,1
Röhlig Blue Services India,1,1,0
SOURCBOX SOLUTION,1,1,0
SPECTRAFORCE,1,1,1
SVKM's Narsee Monjee Institute of Management Studies,1,1,1
SYSTRA,1,1,1
Saama Technologies,1,1,0
Sage,1,1,1
Saxon Global INC,1,1,1
Scale IR,1,1,0
Scopely,1,1,0
ScoutforU Consultants,1,1,1
Seattle New Media,1,1,0
Seeking Alpha,1,1,0
ServiceTitan,1,1,1
Seternity Solutions,1,1,1
Seven N Half Private Limited,1,1,1
Siemens 1,1,1,1
Silicon Labs Pvt.Ltd,1,1,1
Simform,1,1,1
Simulationhub,1,1,1
Sisco Jobs,1,1,1
Skan AI,1,1,1
Skeps,1,1,1
Skillmine Technology,1,1,1
Skillz,1,1,1
Skillz Inc.,1,1,1
Skylink Fibernet,1,1,1
Smart Work Consultants,1,1,1
Smith+Nephew,1,1,1
Software Engineering Firm,1,1,1
SoftwareOne,1,1,1
SolarWinds,1,1,1
Sole Point,1,1,1
Solenis,1,1,1
Sonata Software,1,1,1
Sophos,1,1,0
Sopra Steria,1,1,1
Spectra Technovision,1,1,1
Spikewell,1,1,1
SquadStack,1,1,1
Stats Perform,1,1,1
StatusNeo,1,1,0
Stillfront Group,1,1,1
Stolt-Nielsen Digital Innovation Centre,1,1,1
Stripe,1,1,1
Sulzer,1,1,0
Sun Dew Solutions Private Limited,1,1,1
Sun Life,1,1,1
SuperProcure,1,1,1
Supplier.io,1,1,1
TAAS Partners,1,1,0
TD Synnex,1,1,0
TELUS International AI Inc,1,1,0
TIN Capital,1,1,1
TJX Companies,1,1,1
TMF,1,1,1
TalentOla,1,1,0
Talentone HR Consulting LLP,1,1,1
Tap Invest,1,1,1
Tech Firefly,1,1,0
Tech Mahindra,1,1,0
TechBiz Global GmbH,1,1,0
Techcom Solutions India Private Limited,1,1,1
TekClan,1,1,1
TekFriday,1,1,1
Telemploy,1,1,1
Terralogic Software Solutions,1,1,1
Test,1,1,1
The Blue Venture Fund,1,1,1
The Citco Group Limited,1,1,1
The Depository Trust & Clearing Corporation,1,1,1
The Depository Trust & Clearing Corporation (DTCC),1,1,1
The Guitar Center Company,1,1,1
The Hartford,1,1,1
TheHiveCareers,1,1,1
Thomasmount Consulting,1,1,1
Tokopedia,1,1,1
Toolyt,1,1,1
TopGrep Tech Private Limited,1,1,1
Tops Infosolutions,1,1,1
Tradeweb,1,1,1
Tradeweb Markets,1,1,1
Trane Technologies,1,1,1
TransPerfect,1,1,1
Treebo Hospitality Ventures,1,1,0
Tricon Energy,1,1,1
Truviq Systems,1,1,1
Tyson Foods,1,1,1
Tyson IT solutions India,1,1,1
U.S. Bank,1,1,1
Uber,1,1,1
Ubisoft,1,1,1
Unacademy,1,1,1
Unison Group,1,1,0
United Airlines,1,1,0
Unity SFB,1,1,0
Universal Education,1,1,1
University Living,1,1,1
VDart Software Services Private Limited,1,1,1
VDart Software Services Pvt. Ltd.,1,1,1
Valenta,1,1,1
ValueMomentum,1,1,1
Vbeyond Corporation,1,1,1
Vedita Ventures,1,1,1
Vendavo,1,1,1
Vera Bradley,1,1,1
Verifone,1,1,1
Verisk Analytics,1,1,1
Viavi Solutions,1,1,0
Vikash Technologies,1,1,1
Vinayak Outsourcing Works,1,1,1
ViralChilly,1,1,1
Visa,1,1,1
Vistance Networks,1,1,1
Vistex,1,1,1
Vistex Career,1,1,1
Vois,1,1,1
Volante Technologies,1,1,0
Volvo Group India Private Limited,1,1,1
WHEEBOX,1,1,1
WNS,1,1,1
WPP Production,1,1,1
Wabtec,1,1,1
Wabtec Corporation,1,1,1
Wadhwani AI,1,1,1
Warner Bros. Discovery,1,1,1
Weatherford,1,1,1
Webkit24,1,1,1
WeblineIndia,1,1,1
Welo Data,1,1,0
Western Digital,1,1,1
Whisk Software Private Limited,1,1,1
Whitecrow,1,1,1
WillWare Technologies,1,1,1
Wise,1,1,1
Wishup,1,1,0
Wk,1,1,1
Workfreaks Business Services Private Limited,1,1,1
Wroots Global Private Limited,1,1,1
"XPO, Inc.",1,1,1
Xapads,1,1,1
YO AI Labs,1,1,1
Yahoo,1,1,0
Yash Technologies,1,1,1
YouTrip,1,1,1
ZH healthcare,1,1,1
Zealsoft Technology Solutions Private Limited,1,1,1
Zelis,1,1,0
Zepz,1,1,1
alegeus,1,1,1
amadeus,1,1,1
amdocs,1,1,1
apexx,1,1,1
arena-investors-lp,1,1,1
aresmgmt,1,1,1
ascendion,1,1,1
astreya,1,1,1
azenta,1,1,1
barracuda-networks-inc,1,1,1
bigsteptech,1,1,1
billgosling,1,1,1
bolna,1,1,1
cambridgetechnology,1,1,1
cieloprojects,1,1,1
circlelogistics1,1,1,1
clarisights,1,1,1
codvo-team,1,1,1
colliers1,1,1,1
cotality,1,1,1
cubic,1,1,1
dexcarehealth,1,1,1
diconium,1,1,1
dowjones,1,1,1
dynata,1,1,1
eBay,1,1,1
ePS Software,1,1,1
eProductivity Software,1,1,1
elemica,1,1,1
elevancehealth,1,1,1
fampay,1,1,1
flutterbe,1,1,1
getinz-people,1,1,1
gh,1,1,1
gmx.io,1,1,1
hackajob,1,1,1
hbfuller,1,1,1
innovaccer-analytics,1,1,1
issgovernance,1,1,1
kaufmanrossin,1,1,1
lbg,1,1,1
learners point.org,1,1,1
lilly,1,1,1
mdlz,1,1,1
metromakro,1,1,1
mobility,1,1,1
modeln,1,1,1
modmed,1,1,1
ncratleos,1,1,1
nttlimited,1,1,1
nucleusteq,1,1,1
nxwave,1,1,1
openlane,1,1,1
parker,1,1,0
pavebank,1,1,0
people10,1,1,1
pinebridge,1,1,1
pinnacle,1,1,1
protiviti india,1,1,1
protolabs,1,1,1
qadinc,1,1,1
quickenloans,1,1,1
r3 Consultant,1,1,1
razorpaysoftwareprivatelimited,1,1,1
remote next,1,1,0
remote zest jobs,1,1,0
remotestar-team,1,1,1
robusta,1,1,0
sedintechnologies-talent,1,1,1
sensor-tower,1,1,1
sgs,1,1,1
slice,1,1,1
suntekai,1,1,0
svb,1,1,1
target.com,1,1,1
thgrp,1,1,1
tieto2,1,1,1
ubisoft2,1,1,1
unilever,1,1,1
valocityglobal,1,1,1
veralto,1,1,1
vxi,1,1,1
wf,1,1,1
wikimedia,1,1,0
woodmac,1,1,1
zolve,1,1,1
